Company,Linkedin Page,Org Category,Org Website,Text Content
META HEALTH LIMITED,https://www.linkedin.com/company/metahealthsg/about,Hospitals and Health Care,https://metahealth.sg/,"Meta Health Limited (META), formerly known as Metal Component Engineering Limited, was founded in 1987 in Singapore. With consistent focus on quality and engineering innovation, META has expanded its customer base by serving MNC (Multi-National-Corporation), EMS (Electronic Manufacturing Services), and SME (Small-Medium-Enterprise) globally.

META has recently diversified into healthcare technology and services with investment into Gainhealth Pte. Ltd., a direct-to-consumer and high-growth omnichannel health and wellness platform.  Their healthcare segments now include (1) Primary & Homecare, (2) Central Pharmacy, (3) Clinical Nutrition distribution and (4) Infrastructure as a service (where they help medical institutes digitalise their operations)"
METIS ENERGY LIMITED,https://www.linkedin.com/company/metis-energy-limited-mel/about,Renewable Energy Semiconductor Manufacturing,http://www.metisenergy.com,SGX listed Renewable Energy Company headquartered in Singapore with a mission to provide world-class renewable energy solutions to achieve a net zero future and greener society
METRO HOLDINGS LTD,https://www.linkedin.com/company/metroholdingsltd/about,Real Estate,https://www.metroholdings.com.sg,"Listed on the Mainboard of the SGX-ST in 1973, Metro Holdings was founded in 1957 by the late Mr Ong Tjoe Kim. Starting out as a textile store on 72 High Street, Singapore, Metro has grown over the years to become a property investment and development group with a broadened and diversified asset portfolio, backed by an established retail track record, with a turnover of S$97.3 million for the financial year ended 31 March 2021 and net assets of S$1.6 billion as at 31 March 2021.

Today, the Group operates two core business segments – property investment and development, and retail. It is focused on key markets in the region such as Singapore, the People’s Republic of China (“PRC”), Indonesia, the United Kingdom (“UK”) and Australia."
MIYOSHI LIMITED,https://www.linkedin.com/company/miyoshiamerica/about,Personal Care Product Manufacturing,http://miyoshiamerica.com/,"Miyoshi America, Inc., along with the Miyoshi Kasei Group of companies, is the global leader in the development and manufacture of surface treated pigments and mineral substrates for the cosmetics industry. Established in 1985 as a wholly owned subsidiary of Miyoshi Kasei, Inc., Miyoshi America, Inc. has built on Miyoshi Kasei’s invention of the silicone surface treatment for cosmetics back in the 1970’s.
 
Recent innovations include MiyoAQUA alginate treated pigments, natural (seaweed origin), hydrophilic surface treated iron oxides that easily disperses into the water phase and the MiyoSYN Series of surface treated synthetic micas that provide the ability to control radiance level, long lasting, purity and traceability.
 
Miyoshi America, Inc. has leveraged its expertise and proprietary technologies in surface treatments to develop superior products for color cosmetics and skin care:
·         Breakthrough Surface Treated Pigments
·         Innovative Functional Materials
·         Easy to Use Dispersions"
MUN SIONG ENGINEERING LIMITED,https://www.linkedin.com/company/mun-siong/about,Oil and Gas,http://www.mun-siong.com,"Mun Siong Engineering Ltd is a long established integrated Turnkey Mechanical Engineering, Plant Maintenance and complete Electrical and Instrumentation (E&I) service provider. 

Established in 1969, Mun Siong is an organisation dedicated to optimising Engineering Design, Manufacture, Installation and Maintenance of competitive process plant based solutions, with particular emphasis on efficiency, safe delivery and creating value, in support of optimising client process plant operations.

Mun Siong was listed on the main board of the Singapore Stock Exchange in October 2010, since when the Group has earned an enviable reputation as a reliable, capable and progressive organisation. In the same year, OHM Electrical & Instrumentation was integrated into Mun Siong Group. 

With a significant safety focus, Mun Siong is proud of an enviable track record in supplying assured process equipment, packaged modules and service scopes. Mun Siong extends services across multiple industries, including; Oil & Gas, Petrochemical, Energy, Storage, Water, Chemical and other processing industries. Since 2016, the group has also provided a fully integrated Scaffolding, Insulation and Painting (SIP) service, utilised both in support of our client work packages and independently. 

Mun Siong now has an array of additional principal overseas specialist partners/ suppliers, in order to offer clients premium quality products and services in individual aspects of; Rotating Engineering, Sealing, Coating, Cleaning, Corrosion Protection and Electrical/ UPS products. These complement individual in-house specialisms in Hydro-jetting, Hydro-drilling, Bundle-pulling, Decoking and Tanking, which supplements our existing process plant solutions. 

Mun Siong boasts a significant array of awards and accreditations, including, impressively in 2016, OHM secured their fourth consecutive (Silver) WHS Safety award. We also maintain ASME approvals in Pressure Vessel Design, Manufacture & Repair."
NAM LEE PRESSED METAL INDUSTRIES LIMITED,linkedin page not found,,,
NANOFILM TECHNOLOGIES INTERNATIONAL LIMITED,https://www.linkedin.com/company/nanofilmtechnologies/about,Manufacturing,https://nti-nanofilm.com,"Nanofilm is a leading sustainable deep tech nanotechnology materials manufacturer and the leading provider of nanotechnology solutions in Asia. 

Leveraging our patented disruptive green technologies anchored by self-developed and built production equipment, we address pressing global challenges such as climate change, pushing the limits of material science and beyond."
NERA TELECOMMUNICATIONS LTD,https://www.linkedin.com/company/nera-telecommunications-ltd/about,Telecommunications,http://nera.net/,"Nera Telecommunications Ltd (“NeraTel”) is a leading Communications and Network Solutions Provider with an established track record delivering full suite turnkey network and wireless solutions. 

Incorporated in October 1978 and listed on the SGX Mainboard since July 1999, the company employs some of the best teams of certified engineers in the region with expertise in Network Infrastructure, Wireless Network Infrastructure, Cybersecurity, as well as Support and Managed Services to serve its strong customer base from a wide range of industries including telecommunications, enterprises, government organisations, transport and utilities, amongst others. 

Headquartered in Singapore, NeraTel has a diversified geographical presence in over 16 countries across Asia-Pacific, Europe, Middle East and Africa. 

For more information, please visit our website: http://www.nera.net/"
NIPPECRAFT LIMITED,https://www.linkedin.com/company/nippecraft-ltd/about,,http://www.nippecraft.com.sg/,
NOEL GIFTS INTERNATIONAL LTD,https://www.linkedin.com/company/noel-gifts-international/about,Retail,http://www.noelgifts.com,"Noel Gifts International Ltd is the leading hampers, flowers and gifts company with an extensive offering of chic floral arrangements and gifting ideas for the stylish and discerning. Our core competencies extend beyond floral arrangements and include the conceptualisation, design, sourcing, packaging finesse and delivery of gifts. We have also earned a reputation for our creativity and innovation in setting new trends within the industry, transforming the plain functional hampers of the early '80s into today's ingenious hampers.

We create more than 400 new gift designs and packages throughout the year to cater to all festive seasons and special occasions. These include holidays like Christmas, Chinese New Year, Valentine's Day, as well as events like baby showers, weddings, anniversaries, housewarmings and official openings among others. We also provide options for expressing thanks, or to convey heartfelt condolences.

With over 40 years of experience in the hamper, flower and gift business, Noel Gifts International Ltd is not only a specialist and expert in local gifting customs, but also an industry leader in the hamper market. We have also won several local and overseas awards.

Our notable achievements include:
•	Singapore Packaging Star Award
•	Asia Packaging Star Award
•	WorldStar Packaging Award
•	Singapore Prestige Brand Award - Heritage Brands 2010
•	Singapore Prestige Brand Award - Heritage Brands 2011
•	Singapore Prestige Brand Award - Heritage Brands 2012
•	Overall Winner for Singapore Prestige Brand Award - Heritage Brands (SPBA Hall of Fame) 2012
•	Official Vendor for SG50 Baby Jubilee Gift Community Initiative
•	Exclusive Marketing Agent for SG50 Numismatic Currency Collection
	(appointed by Monetary Authority of Singapore)

Guided by a strong customer-centric focus as we innovate new services for our clients, Noel Gifts International Ltd continues to live by our vision of “Bringing People Closer, Making Every Day Better”."
NTEGRATOR HOLDINGS LIMITED,linkedin page not found,,,
OSSIA INTERNATIONAL LIMITED,https://www.linkedin.com/company/ossia-international-ltd/about,,http://www.ossia.com.sg/,
OUE LIMITED,https://www.linkedin.com/company/ouerestaurants/about,Hospitality,https://www.ouerestaurants.com/,"The food and lifestyle division of OUE Limited (SGX-ST: “OUE”), OUE Restaurants is on a mission to create genuine and exceptional dining experiences that cater to a diverse range of diners in Singapore and overseas. 

The Groups growing portfolio features a distinct host of restaurants and bars - from fine and bespoke, to fast and casual. Across Singapore, Hong Kong, and Japan these include: Chatterbox, Chatterbox Express, Chatterbox Cafe, Vue, Hashida, Takayama, Hanare by Takayama, Shisen Hanten, Rempapa by Damian D’ Silva, Alfafa, Fufu Pot, Chen's Mapo Tofu, Delifrance, and Maxx Coffee."
OVERSEA-CHINESE BANKING CORPORATION LIMITED,https://www.linkedin.com/company/oversea-chinese-banking-corporation/about,167  followers,,
PENGUIN INTERNATIONAL LIMITED,https://www.linkedin.com/company/penguin-international-limited/about,Shipbuilding,http://www.penguin.com.sg,"Thursday, 5 January 2023
9:59 AM

Penguin International Limited is a publicly listed Singaporean homegrown company.

We specialise in the design, construction, ownership and operation of aluminium high-speed craft.

Since 1995, we have delivered more than 200 aluminium workboats, patrol craft and passenger ferries to ship owners around the world. These include our proprietary FLEX multi-role crewboats, armoured security boats and windfarm vessels, built under our self-funded stock vessel construction programme.

Our designs are jointly developed by our integrated shipbuilding and ship management teams in Singapore, backed by more than three decades of operational experience. We typically own and operate what we design and build. 

We also undertake owner-specific build-to-order, repair and conversion projects for a variety of high-speed craft.

Whether you are a ship owner or a charterer, you will enjoy peace of mind with the Penguin brand, which stands for integrity, professionalism and mutual respect.

Go ahead. FLEX YOUR FLEET today!"
PNE INDUSTRIES LTD,https://www.linkedin.com/company/pne-industries-ltd/about,"Appliances, Electrical, and Electronics Manufacturing",http://www.pne.com.sg,"PNE is your ideal PCB Assembly and EMS Partner. We're agile and dynamic contract manufacturing service provider specializing in industrial applications. Headquartered in Singapore, our operations span across Malaysia and China and are supported by our sales and technical team based in the Netherlands. With Singapore's strong intellectual protection, we can cater to medium to high-volume production, all while safeguarding our customers' IP. With nearly 40 years of experience, we offer superior quality at competitive prices, cementing longstanding partnerships with customers across Europe, America, and Asia Pacific. Trust us to exceed your expectations with top-notch products and services, backed by our dedicated global team.

Why Choose Us? 

✅Quality Assurance 
✅Expertise and Experience 
✅Cost Effectiveness 
✅Advanced Technology and Equipment
✅Responsive Customer Support"
PSC CORPORATION LTD,https://www.linkedin.com/company/psc-biotech-corp/about,Biotechnology,https://www.biotech.com,"Founded in 1996, PSC Biotech Corporation was created with the vision of providing life science companies unmatched support. PSC Biotech Corporation serves 1000 clients in more than 35 countries worldwide through professional services consulting, cloud-based software solutions, pharmaceuticals contract manufacturing, life science investment consulting, and metrology services.

PSC Biotech Corporation has six unique divisions within the parent company – each representing one of our areas of expertise: PSC Biotech, PSC Software, BioTechnique™, PSC Partners, PSC Metrology and PSC Investments. 

Additionally, PSC Asia and PSC Biotech Ltd represent PSC Biotech Corporation in Asia and Europe, respectively. Together, these divisions enable us to meet the ever-changing needs of our clients with a commitment to excellence and superior quality.

To learn more, visit our website."
QIAN HU CORPORATION LIMITED,https://www.linkedin.com/company/qian-hu-corporation-limited/about,Farming,http://www.qianhu.com,"Incorporated in 1998 and listed on the Singapore Exchange since 2000, Qian Hu Corporation Limited is an integrated ornamental fish service provider with business activities ranging from the breeding of Dragon Fish to farming, importing, exporting and distributing of over 1,000 species and varieties of ornamental fish from all over the world. The Group also manufactures, exports and distributes a wide range of aquarium and pet accessories under house brands such as “Ocean Free®”, “OF®”, “RevoReef®”, Ponddpro®”, “ReptilePro®”, “Classica®”, “Aqua Zonic ®”, “Delikate®”, “BARK®”, “Aristo-Cats®”and “Sumo Cats®” globally. 
In January 2017, Qian Hu has set up an edible fish aquaculture business to farm antibiotic-free edible fish such as groupers and shrimps. The Group also manufactures plastic bags to meet the needs of a wide range of industries such as aquatic, food, hotel, supermarket, electronics and many other major commercial and industrial sectors.

Our Mission Statement
By focusing on technology, innovation and quality, we aspire to be the industry’s most value-adding and productive provider of edible fish, ornamental fish and aquarium/pet accessories.

Public Responsibility
We believe that Lives should be Treasured and Cherished. 

Philosophy
We bring fun to you!

Purpose
Create a premium lifestyle experience in ornamental fish keeping by providing a one-stop aquatic shopping for wholesalers, retailers and consumers.
Provide, safe, wholesome seafood through our edible aquaculture business.

Qian Hu's Vision
• To be the world's number 1 ornamental fish exporter
• To breed Dragon Fish of the highest value
• To establish our ""Ocean Free""​ and ""OF""​ brands as the most recognizable among Aquarium Accessories brands in Asia    
• To be an innovative technology company
• To produce sustainable edible fish, that are free of anti-biotic, for the benefit of our consumers and the environment"
RAFFLES MEDICAL GROUP LTD,https://www.linkedin.com/company/raffles-medical-group/about,Hospitals and Health Care,http://www.rafflesmedicalgroup.com,"Raffles Medical Group (RMG), listed on the Singapore Stock Exchange (SGX: BSL) is one of the largest private healthcare providers in the region, providing comprehensive services from primary to tertiary care. Our regional presence spans 14 cities with medical facilities in Singapore, China, Japan, Vietnam and Cambodia. In China, we now operate 3 hospitals in Chongqing, Beijing and Shanghai. 

Our flagship hospital in Singapore is located in the heart of Singapore’s CBD,  alongside an unsurpassed network of more than 100 multi-disciplinary clinics, as well as a fully integrated Specialist Medical Centre with over 30 disciplines in specialist care. 
 
Founded in 1976, rooted in the Group Practice model, RMG built our philosophy  on “To our patients our best’ with a vision to be the region’s “Trusted Partner For Health”. We work closely with the Singapore government on its national vaccination programme, and are appointed to run vaccination centres."
RH PETROGAS LIMITED,https://www.linkedin.com/company/rh-petrogas-ltd-rhp-/about,Oil and Gas,http://www.rhpetrogas.com,"RH Petrogas Limited (""RHP"") is an independent upstream oil and gas company headquartered in Singapore and listed on the mainboard of the Singapore Stock Exchange. RHP and its subsidiaries (the ""Group"") operate across the full range of upstream activities covering the exploration, development and production of oil and gas resources. Geographically, the Group is focused in the Asia region.

The Group's current portfolio consists of three upstream assets located in Indonesia and Malaysia. These assets are awarded to the Group and its partners under production sharing contracts (""PSCs"") entered into with government agencies or National Oil Companies of the respective host countries where the assets are located. Under the PSCs, the Group and its partners are Contractors to the host governments and bear the risk and cost for the exploration and production of oil and gas resources in exchange for a share of the production. The Group is the operator for two of its assets on behalf of its other partners. Currently, two of the Group's assets are in the production phase and one in the exploration phase.

The Group seeks to grow its business organically through exploration and by extending the life of its existing assets through in-fill drillings, enhanced oil recovery (""EOR""), development of undeveloped discoveries and contract extensions. In addition, the Group also seeks to grow through acquisition and is constantly on the lookout for the right opportunities in the market, with a focus on low to medium risk conventional oil and gas assets. The Group will leverage on its regional expertise and experience to grow and expand in the Asian oil and gas market.

RHP aspires to be a leading independent oil and gas company in the region."
SAKAE HOLDINGS LTD,https://www.linkedin.com/company/sakae-holdings/about,Food and Beverage Services,http://www.sakaeholdings.com/,"Sakae Holdings Ltd is a public-listed company that is on the fast track of global growth. Since its inception, the Group has developed a portfolio of brands & services, all synonymous with healthy dining, food safety, quality and sustainable growth. 

The familiar “Green Frog” logo, representative of Sakae’s ideology for growth and values is easily recognizable, and Sakae’s continuous strong growth has been achieved synonymously through technological innovation, patents for improving operational efficiency and maintaining high service standards. 

Adopting a farm-to-table approach, Sakae works closely with suppliers & partners, conducting regular farm visits and laboratory test to ensure food sources safety and sustainability. The emphasis on operational excellence has since contributed to the Group’s global expansion of over 200 outlets across the globe, including Singapore, China, Chile, Philippines, Vietnam, Malaysia, Japan & Indonesia.

As Sakae continues to build global brands, the Group will continue to improve operational efficiency, service standards, as well as keep a focus on customers’ varying preferences in local and international markets, enabling Sakae to bring joy across the globe – one frog print at a time. 

Our Brands: Sakae Sushi, Sakae Delivery, Sakae Teppanyaki, Sakae Shoppe, Crepes & Cream, Hei Sushi, Nouvelle Events and Catering, Senjyu, Sachi, Cocosa."
SAMUDERA SHIPPING LINE LTD,https://www.linkedin.com/company/samudera-shipping-line-ltd/about,Maritime Transportation,http://www.samudera.id/ssl,"Since its incorporation in 1993, Samudera Shipping Line (SSL) has established itself as a reputable shipping company with a good track record of professionalism and competency in its field. With over 50 services available plying trade routes connecting various ports in Southeast Asia, the Indian Subcontinent, the Far East, and the Middle East, SSL provides reliable connections across Asia, driving growth and delivering value. 

SSL is primarily engaged in transporting containerised and non-containerised cargo through its Container Shipping, Bulk and Tanker as well as Agency and Logistics business segments. The company was also listed on the Singapore Stock Exchange in 1997 and later on the Main Board of the Singapore Exchange Securities Trading Limited."
SBI OFFSHORE LIMITED,https://www.linkedin.com/company/sbi-singapore/about,Banking,http://sg.statebank,"State Bank of India (SBI) is a Fortune 500 company and has been playing a major role in fulfilling the global aspirations of Indian corporations through its 227 foreign offices in 30 countries across the world. 

Our Singapore operations were set up in 1977 with an offshore banking license, equipping us with over three decades of experience in commercial and wholesale banking. 

SBI Singapore achieved another milestone during the year 2008 with the grant of Full Bank status with QFB privileges. Currently, SBI Singapore has 5 retail branches, 19 SBI ATMs and over 200 ATMs via the shared island wide ATM5 network. SBI has a suite of retail banking products which complement its existing corporate banking products thus enabling us to service both individual and corporate customers.

We have a wide range of Corporate and Retail Products and our instant transfer facility for INR remittances is highly popular. This facility enables money transfers to more than 22,000 Branches of the State Bank group in India. We also connect to offer remittance facility to more than 80,000 RTGS enabled branches of other banks in India. 

SBI Singapore is now a member of FAST payment network facilitating instantaneous SGD fund transfer among the participating member Banks. In the Retail area, we have Savings Accounts, Current Accounts and Term Deposits. 

On the retail loans front, we offer mortgage loans comprising Compounded SORA linked and Fixed rate products. These products come to you with attractive interest rates and personalized service.

A centralized syndication and participation team is active in coordinating and marketing syndication deals. Singapore, being the hub of the syndication activities of the Bank, covers the Asia Pacific region.  

SBI Singapore leverages on its extensive international network of branches to offer a wide range of Import/Export Trade Finance Services, in both Singapore Dollar and foreign currencies to facilitate the business needs of customers."
SBS TRANSIT LTD,https://www.linkedin.com/company/sbs-transit-ltd/about,Truck Transportation,http://www.sbstransit.com.sg,"Moving people in a safe, reliable and affordable way."
SECOND CHANCE PROPERTIES LTD,https://www.linkedin.com/company/second-chance-properties/about,Retail,http://secondchance.com.sg,"INVESTMENT IN PROPERTIES FOR RENTAL INCOME, RETAIL LADIES APPARELS & ACCESSORIES, GOLD & JEWELLERY AND INVESTMENTS IN REITS."
SERIAL SYSTEM LTD,https://www.linkedin.com/company/serial-system-ltd/about,Semiconductor Manufacturing,http://www.serialsystem.com,"Serial System Ltd started operations in 1988 as a Distributor of electronics components in Singapore. The Company was incorporated as a private limited entity in April 1992 and listed in SESDAQ in 1997. Serial System Ltd became a Singapore Exchange Securities Trading Limited (SGX-ST) mainboard listed company on 10 July 2000. The Group has network of oversea offices, operations and representations in China, Hong Kong, South Korea, Taiwan, India, Malaysia, Thailand, Philippines and Vietnam.

The Group is a leading semiconductors/ components distributor in the Asia Pacific region, offering design supports, technology solutions and services, materials planning and inventory management. 

The Group distributes a full range of active and passive components to original equipment manufacturers and sub-contractors in various industries and has forged strong business and technologies links with its customers. Customers are provided with innovative value-added services such as turnkey design, warehousing and logistics support. 
 
The Group's suppliers include well-established names such as Texas Instruments, ON Semiconductor, Telegent System HK Ltd, Analog Devices Inc, NXP Semiconductors Singapore, Silicon Storage Technology Ltd, Avago Technologies International, Tyco Electronics, Hitachi Global Storage Technologies, Micron Semiconductor Asia and Mars."
SEROJA INVESTMENTS LIMITED,linkedin page not found,,,
SHANAYA LIMITED,https://www.linkedin.com/company/shanayagroup/about,Environmental Services,https://www.shanayagroup.com/,"Shanaya Group is principally engaged in the provision of waste management and disposal services to industrial and commercial clients and specifically, the provision of collection, transfer, treatment, and disposal services to mainly the shipping and cruise industries in Singapore. 

It carries out its operations through its wholly owned subsidiary, Shanaya Environmental Services Pte Ltd .Shanaya segregates the collected waste at its waste handling facilities situated at 27 Kian Teck Drive, Singapore 628844 (“Kian Teck Facility”) and/or 3A Tuas South Street 15, Singapore 636845 (“Tuas Facility”), where recyclable materials are segregated and sent for further recycling & upcycling process at its downstream recycling partner’s facility."
SIA ENGINEERING COMPANY LIMITED,https://www.linkedin.com/company/sia-engineering-company/about,Aviation and Aerospace Component Manufacturing,https://www.siaec.com.sg,"SIA Engineering Company (SIAEC) is Asia Pacific’s foremost Maintenance, Repair and Overhaul (MRO) provider.

With approvals from more than 20 airworthiness authorities, SIAEC delivers turn-key integrated solutions to a large client base of international airlines and aerospace companies through our six hangars in Singapore and three hangars in Philippines to offer comprehensive MRO services on current and new generation widebody and narrowbody aircraft. Our maintenance facilities provide complete MRO services in airframe, line, cabin, fleet management, component, as well as engine on-wing, near-wing and off-wing services across a range of engine types. These service offerings are further enhanced and complemented by a network of over 20 joint ventures and subsidiaries with leading OEMs and strategic partners.

Our extensive line maintenance network operates across more than 25 airports in Asia-Pacific and North America. At Singapore Changi Airport, SIAEC provides line maintenance services to more than 60 airlines transiting through Singapore and ensures a high level of punctuality for all our customers’ flight departures.

With an extensive MRO ecosystem in Asia and beyond, SIAEC is well positioned to provide a comprehensive suite of integrated MRO services and network support to airlines worldwide."
SING INVESTMENTS & FINANCE LIMITED,https://www.linkedin.com/company/sing-investments-&-finance-ltd/about,Financial Services,http://www.sif.com.sg/,"Incorporated in Singapore on 13 November 1964, Sing Investments and Finance Ltd was officially listed on the SGX Mainboard on 7 July 1983. Licensed under the Finance Companies Act, Cap 108, the company has more than 50 years of lending experience in the financing arena in Singapore. 

In those years, we have delivered for our clients, the best financial experience that is beyond excellence, helping both individuals as well as corporations fulfill their business aspirations. The relationships that have been built over the years have earned us the reputation as one of Singapore's most trusted finance companies.

We have four branches strategically located at 96 Robinson Road, Ang Mo Kio Avenue 6, Bedok North Street 1 and Jurong Gateway Road.

Our activities cover the acceptance of fixed and saving deposits from the public and the provision of loans and credit facilities to individuals and corporations, particularly the Small and Medium Enterprises (SMEs) in Singapore. 

A recipient of the SIAS Investors' Choice Awards and Singapore Corporate Awards, we are proud to be recognized for our achievements in the industry. These testaments to our business approach and the expertise of our dedicated teams continues to drive us to serve and partner our clients for greater success."
SINGAPORE AIRLINES LIMITED,https://www.linkedin.com/company/singapore-airlines/about,Airlines and Aviation,http://singaporeair.com/,"Welcome aboard Singapore Airlines on LinkedIn. Discover travel inspirations, business travel tips, cultural insights, our latest updates, and more. 

Singapore Airlines is a global company dedicated to providing air transportation services of the highest quality and to maximising returns for the benefit of its shareholders and employees. We have come a long way since our founding in 1972, evolving from a regional airline to one of the most respected travel brands around the world. We fly one of the youngest aircraft fleets in the world to destinations spanning a network across five continents, with the famed Singapore Girl as our internationally-recognisable icon providing the high standards of care and service that customers have come to expect of us.

Please refer to https://bit.ly/2Z2MVN1 for guidelines on our social media channels."
SINGAPORE POST LIMITED,https://www.linkedin.com/company/singapore-post/about,"Transportation, Logistics, Supply Chain and Storage",http://www.singpost.com,"Singapore Post (SingPost) is a leading postal and eCommerce logistics provider in Asia Pacific. The portfolio of businesses spans from national and international postal services to warehousing and fulfilment, international freight forwarding and last mile delivery, serving customers in more than 220 global destinations. Headquartered in Singapore, SingPost has over 4,900 employees, with offices in 13 markets worldwide. Since its inception in 1858, the Group has evolved and innovated to bring about best-in-class integrated logistics solutions and services, making every delivery count for people and planet."
SINGAPORE TELECOMMUNICATIONS LIMITED,https://www.linkedin.com/company/singapore-smart-telecommunications-pte-ltd_2/about,Telecommunications,http://www.smarttel.com,"Singapore Smart Telecommunications Pte Ltd (Smarttel) is a service based operator providing high quality International Direct Dialing (IDD), Voice over Internet Protocol (VoIP), Internet Protocol Facsimile, International Roaming, International Call Back and Call Re- origination services. Headquartered in Singapore"
SITRA HOLDINGS (INTERNATIONAL) LIMITED,https://www.linkedin.com/company/sitra-holdings-international-limited/about,,http://sitraholdings.com,
SPINDEX INDUSTRIES LIMITED,https://www.linkedin.com/company/spindex-industries-limited/about,Industrial Machinery Manufacturing,http://www.spindex.com.sg,"SPINDEX is a highly integrated solution provider of precision-machined components and assemblies with strategic manufacturing location in Singapore, Malaysia, China and Vietnam.

We serve diverse market sectors consisting of MNC customers in imaging & printing, domestic appliances, consumer electronics, data storage, machinery, automotive systems and telecommunications.

Together with our state-of-the-art manufacturing capabilities, advanced quality and environmental management systems, excellent information system, strategic locations and dedicated people imbued with a culture of continuous improvement, we can offer you the best-fit solutions and be an integral part of your supply chain."
STARHUB LTD,https://www.linkedin.com/company/starhub/about,Telecommunications,https://www.starhub.com,"StarHub is a leading homegrown Singapore company that delivers world-class communications, entertainment and digital services. With our extensive fibre and wireless infrastructure and global partnerships, we bring to people, homes and enterprises quality mobile and fixed services, a broad suite of premium content, and a diverse range of communication solutions. We develop and deliver to corporate and government clients solutions incorporating artificial intelligence, cybersecurity, data analytics, Internet of Things and robotics. 

We are committed to conducting our business in a sustainable and environmentally responsible manner. Listed on the Singapore Exchange mainboard, StarHub is a component stock of the SGX iEdge SG ESG Transparency Index, iEdge Singapore Low Carbon Index, iEdge-OCBC Singapore Low Carbon Select 50 Capped Index; as well as the FTSE4Good Index series. StarHub is ranked the world’s most sustainable wireless telecommunication provider on the Corporate Knights Global 100 2024. 

Find us at www.starhub.com and connect with us on Facebook (www.facebook.com/starhub) and Instagram (www.instagram.com/starhub)."
SUNRISE SHARES HOLDINGS LTD,linkedin page not found,,,
TAI SIN ELECTRIC LIMITED,https://www.linkedin.com/company/taisinsg/about,"Appliances, Electrical, and Electronics Manufacturing",https://www.taisin.com.sg,"Tai Sin Electric Limited was incorporated in 1980 and has built a successful cables and wires business serving a diverse range of industries for both the private and public sectors in all categories of industrial, commercial, residential and offshore & marine projects. 

To cater for the robust growth in the regional market, Tai Sin operates three cable manufacturing plants, which are located in Singapore, Malaysia and Vietnam. All of which are fully equipped with the latest manufacturing facilities and technologies to meet increasing demands.

Over the years, Tai Sin has expanded and diversified steadily to become the Tai Sin Group of Companies, which is now public listed on the Main Board of Singapore Stock Exchange (SGX).

We have grown steadily based on a sound business philosophy of providing quality products using leading edge technology, backed by unfailing excellence in customer service and faster turnaround time to maintain customer loyalty. These are also our beliefs and values that give us the strength and confidence to continue to grow, excel and succeed."
TAT SENG PACKAGING GROUP LTD,https://www.linkedin.com/company/tat-seng-packaging-group-ltd/about,"Appliances, Electrical, and Electronics Manufacturing",http://www.tatseng-packaging.com,
TELECHOICE INTERNATIONAL LIMITED,https://www.linkedin.com/company/telechoiceinternational/about,Telecommunications,http://www.telechoice.com.sg,"We are a regional diversified provider and enabler of innovative info-communications products and services. We offer a comprehensive suite of solutions including smart devices and applications, ICT and network engineering services under our Consumer and Enterprise Groups. 

Incorporated in Singapore on 28 April 1998 and listed on the Mainboard of the Singapore Exchange Securities Trading Limited on 25 June 2004, we are a portfolio company of ST Telemedia, a strategic investor in communications and media, data centres and infrastructure technology businesses, across Asia, the US and Europe. 

Our subsidiaries:
NexWave Technologies 
NexWave Telecoms
NxGen Communications
Planet Telecoms
S&I Systems"
TT INTERNATIONAL LIMITED,https://www.linkedin.com/company/tt-international-ltd/about,,http://tt-intl.com,
UNITED OVERSEAS INSURANCE LIMITED,https://www.linkedin.com/company/united-overseas-insurance-limited/about,Insurance,https://www.uoi.com.sg/,"Founded in 1971, United Overseas Insurance Limited (UOI) is a general insurance company, with a wide range of classes across both consumer and commercial insurance. We stand by our values of honourable, enterprising, united and committed, through delivering our clients trusted solutions and being there when they need us most.

UOI is a Member of the UOB Group and is listed on the Singapore Stock Exchange."
VENTURE CORPORATION LIMITED,https://www.linkedin.com/company/venturecorporation/about,"Appliances, Electrical, and Electronics Manufacturing",https://www.venture.com.sg/,"Venture (SGX: V03.SI) was formed in 1989 through the merger of three companies to provide contract manufacturing services. Today, Venture has been transformed into a leading global provider of technology services, products and solutions with established capabilities spanning marketing research, design, research and development. 

Over the years, Venture has built know-how and intellectual property with expertise in several technology domains.  These include life science & genomics, molecular diagnostics, medical devices and equipment, healthcare and wellness technology, lifestyle consumer technology, health improvement products, instrumentation, test and measurement technology, networking and communications, fintech, as well as computing, printing and imaging technology. The Group manages a portfolio of more than 5,000 products and solutions and continues to expand into new technology domains through collaborations with its customers and partners.  In its pursuit of excellence across design and engineering, manufacturing and distribution, Venture has forged numerous partnerships and alliances. 

Headquartered in Singapore, the Group comprises over 30 companies with global clusters in Southeast Asia, Northeast Asia, America and Europe, and employs over 12,000 people globally. 

VIPColor Technologies Pte Ltd (www.vipcolor.com) and Advanced Products Corporation Pte Ltd (www.apc-vest.com) are wholly-owned subsidiaries of the Venture Group. They provide industry leading solutions for on-demand color label printing and embedded systems respectively."
